throttle,acceleration
0.0,-4.504733455091295
0.050000000745058,-3.862187415231505
0.1000000014901161,-3.8878176083609346
0.1000000014901161,-3.2198128034049804
0.1500000059604644,-3.1146568475110055
0.2000000029802322,-2.272406661726248
0.2000000029802322,-2.1818638756641344
0.2000000029802322,-1.9481422677877431
0.3000000119209289,-1.0861754053986976
0.3000000119209289,-1.0781811170079358
0.3000000119209289,-0.70915407980475
0.4000000059604645,0.07665564816185048
0.4000000059604645,0.6449695491932198
0.449999988079071,1.452147421289146
0.5,1.451425356926465
0.5,1.4740857881765237
0.5,2.288153247028059
0.550000011920929,1.99764996243372
0.550000011920929,2.2961042989260516
0.6000000238418579,2.0307961648819326
0.6000000238418579,2.790823759450228
0.6000000238418579,3.1777742475259294
0.6499999761581421,3.7518281214259908
0.699999988079071,3.1460086000746372
0.699999988079071,3.750002820618024
0.699999988079071,4.367469593426553
0.75,3.039035369710328
0.75,3.5339985775526137
0.800000011920929,3.493063373794347
0.8500000238418579,2.6956100767833884
0.8500000238418579,4.247666735241204
0.8500000238418579,4.256792337291374
0.8999999761581421,2.9150244380837953
0.8999999761581421,4.18015739264318
0.949999988079071,3.7846213051425783
0.949999988079071,3.818919112767341
1.0,2.6684222568688885
1.0,3.829228739788741
